Trace;Search;Category;State;Event Start Time (ms);Event End Time (ms);Baseline (pA);Peak Amp (pA);Time to Peak (ms);Time of Peak (ms);Antipeak Amp (pA);Time to Antipeak (ms);Time of Antipeak (ms);Half-width (ms);Half-amplitude (pA);Time to Rise Half-amplitude (ms);Time to Decay Half-amplitude (ms);Rise Tau (ms);Decay Tau (ms);Max Rise Slope (pA/ms);Time to Max Rise Slope (ms);Max Decay Slope (pA/ms);Time to Max Decay Slope (ms);Rise Slope 10% to 90% (pA/ms);Rise Time 10% to 90% (ms);Decay Slope 90% to 10% (pA/ms);Decay Time 90% to 10% (ms);Area (pA ú ms);Inst. Freq. (Hz);Interevent Interval (ms);S.D. of Fit;Template Match; ;G1: Midpoint, Cat 1;G1: Bin Count, Cat 1;G1: Midpoint, Cat 2;G1: Bin Count, Cat 2;G1: Midpoint, Cat 3;G1: Bin Count, Cat 3;G1: Midpoint, Cat 4;G1: Bin Count, Cat 4;G1: Midpoint, Cat 5;G1: Bin Count, Cat 5;G1: Midpoint, Cat 6;G1: Bin Count, Cat 6;G1: Midpoint, Cat 7;G1: Bin Count, Cat 7;G1: Midpoint, Cat 8;G1: Bin Count, Cat 8;G1: Midpoint, Cat 9;G1: Bin Count, Cat 9;G2: Midpoint, Cat 1;G2: Bin Count, Cat 1;G2: Midpoint, Cat 2;G2: Bin Count, Cat 2;G2: Midpoint, Cat 3;G2: Bin Count, Cat 3;G2: Midpoint, Cat 4;G2: Bin Count, Cat 4;G2: Midpoint, Cat 5;G2: Bin Count, Cat 5;G2: Midpoint, Cat 6;G2: Bin Count, Cat 6;G2: Midpoint, Cat 7;G2: Bin Count, Cat 7;G2: Midpoint, Cat 8;G2: Bin Count, Cat 8;G2: Midpoint, Cat 9;G2: Bin Count, Cat 9;G3: Midpoint, Cat 1;G3: Bin Count, Cat 1;G3: Midpoint, Cat 2;G3: Bin Count, Cat 2;G3: Midpoint, Cat 3;G3: Bin Count, Cat 3;G3: Midpoint, Cat 4;G3: Bin Count, Cat 4;G3: Midpoint, Cat 5;G3: Bin Count, Cat 5;G3: Midpoint, Cat 6;G3: Bin Count, Cat 6;G3: Midpoint, Cat 7;G3: Bin Count, Cat 7;G3: Midpoint, Cat 8;G3: Bin Count, Cat 8;G3: Midpoint, Cat 9;G3: Bin Count, Cat 9;G4: Midpoint, Cat 1;G4: Bin Count, Cat 1;G4: Midpoint, Cat 2;G4: Bin Count, Cat 2;G4: Midpoint, Cat 3;G4: Bin Count, Cat 3;G4: Midpoint, Cat 4;G4: Bin Count, Cat 4;G4: Midpoint, Cat 5;G4: Bin Count, Cat 5;G4: Midpoint, Cat 6;G4: Bin Count, Cat 6;G4: Midpoint, Cat 7;G4: Bin Count, Cat 7;G4: Midpoint, Cat 8;G4: Bin Count, Cat 8;G4: Midpoint, Cat 9;G4: Bin Count, Cat 9; ;G1: ScPlot X, Cat 1;G1: ScPlot Y, Cat 1;G1: ScPlot X, Cat 2;G1: ScPlot Y, Cat 2;G1: ScPlot X, Cat 3;G1: ScPlot Y, Cat 3;G1: ScPlot X, Cat 4;G1: ScPlot Y, Cat 4;G1: ScPlot X, Cat 5;G1: ScPlot Y, Cat 5;G1: ScPlot X, Cat 6;G1: ScPlot Y, Cat 6;G1: ScPlot X, Cat 7;G1: ScPlot Y, Cat 7;G1: ScPlot X, Cat 8;G1: ScPlot Y, Cat 8;G1: ScPlot X, Cat 9;G1: ScPlot Y, Cat 9;G2: ScPlot X, Cat 1;G2: ScPlot Y, Cat 1;G2: ScPlot X, Cat 2;G2: ScPlot Y, Cat 2;G2: ScPlot X, Cat 3;G2: ScPlot Y, Cat 3;G2: ScPlot X, Cat 4;G2: ScPlot Y, Cat 4;G2: ScPlot X, Cat 5;G2: ScPlot Y, Cat 5;G2: ScPlot X, Cat 6;G2: ScPlot Y, Cat 6;G2: ScPlot X, Cat 7;G2: ScPlot Y, Cat 7;G2: ScPlot X, Cat 8;G2: ScPlot Y, Cat 8;G2: ScPlot X, Cat 9;G2: ScPlot Y, Cat 9;G3: ScPlot X, Cat 1;G3: ScPlot Y, Cat 1;G3: ScPlot X, Cat 2;G3: ScPlot Y, Cat 2;G3: ScPlot X, Cat 3;G3: ScPlot Y, Cat 3;G3: ScPlot X, Cat 4;G3: ScPlot Y, Cat 4;G3: ScPlot X, Cat 5;G3: ScPlot Y, Cat 5;G3: ScPlot X, Cat 6;G3: ScPlot Y, Cat 6;G3: ScPlot X, Cat 7;G3: ScPlot Y, Cat 7;G3: ScPlot X, Cat 8;G3: ScPlot Y, Cat 8;G3: ScPlot X, Cat 9;G3: ScPlot Y, Cat 9;G4: ScPlot X, Cat 1;G4: ScPlot Y, Cat 1;G4: ScPlot X, Cat 2;G4: ScPlot Y, Cat 2;G4: ScPlot X, Cat 3;G4: ScPlot Y, Cat 3;G4: ScPlot X, Cat 4;G4: ScPlot Y, Cat 4;G4: ScPlot X, Cat 5;G4: ScPlot Y, Cat 5;G4: ScPlot X, Cat 6;G4: ScPlot Y, Cat 6;G4: ScPlot X, Cat 7;G4: ScPlot Y, Cat 7;G4: ScPlot X, Cat 8;G4: ScPlot Y, Cat 8;G4: ScPlot X, Cat 9;G4: ScPlot Y, Cat 9; ;g1: ScPlot X, Cat 1 (selected);g1: ScPlot Y, Cat 1 (selected);g1: ScPlot X, Cat 2 (selected);g1: ScPlot Y, Cat 2 (selected);g1: ScPlot X, Cat 3 (selected);g1: ScPlot Y, Cat 3 (selected);g1: ScPlot X, Cat 4 (selected);g1: ScPlot Y, Cat 4 (selected);g1: ScPlot X, Cat 5 (selected);g1: ScPlot Y, Cat 5 (selected);g1: ScPlot X, Cat 6 (selected);g1: ScPlot Y, Cat 6 (selected);g1: ScPlot X, Cat 7 (selected);g1: ScPlot Y, Cat 7 (selected);g1: ScPlot X, Cat 8 (selected);g1: ScPlot Y, Cat 8 (selected);g1: ScPlot X, Cat 9 (selected);g1: ScPlot Y, Cat 9 (selected);g2: ScPlot X, Cat 1 (selected);g2: ScPlot Y, Cat 1 (selected);g2: ScPlot X, Cat 2 (selected);g2: ScPlot Y, Cat 2 (selected);g2: ScPlot X, Cat 3 (selected);g2: ScPlot Y, Cat 3 (selected);g2: ScPlot X, Cat 4 (selected);g2: ScPlot Y, Cat 4 (selected);g2: ScPlot X, Cat 5 (selected);g2: ScPlot Y, Cat 5 (selected);g2: ScPlot X, Cat 6 (selected);g2: ScPlot Y, Cat 6 (selected);g2: ScPlot X, Cat 7 (selected);g2: ScPlot Y, Cat 7 (selected);g2: ScPlot X, Cat 8 (selected);g2: ScPlot Y, Cat 8 (selected);g2: ScPlot X, Cat 9 (selected);g2: ScPlot Y, Cat 9 (selected);g3: ScPlot X, Cat 1 (selected);g3: ScPlot Y, Cat 1 (selected);g3: ScPlot X, Cat 2 (selected);g3: ScPlot Y, Cat 2 (selected);g3: ScPlot X, Cat 3 (selected);g3: ScPlot Y, Cat 3 (selected);g3: ScPlot X, Cat 4 (selected);g3: ScPlot Y, Cat 4 (selected);g3: ScPlot X, Cat 5 (selected);g3: ScPlot Y, Cat 5 (selected);g3: ScPlot X, Cat 6 (selected);g3: ScPlot Y, Cat 6 (selected);g3: ScPlot X, Cat 7 (selected);g3: ScPlot Y, Cat 7 (selected);g3: ScPlot X, Cat 8 (selected);g3: ScPlot Y, Cat 8 (selected);g3: ScPlot X, Cat 9 (selected);g3: ScPlot Y, Cat 9 (selected);g4: ScPlot X, Cat 1 (selected);g4: ScPlot Y, Cat 1 (selected);g4: ScPlot X, Cat 2 (selected);g4: ScPlot Y, Cat 2 (selected);g4: ScPlot X, Cat 3 (selected);g4: ScPlot Y, Cat 3 (selected);g4: ScPlot X, Cat 4 (selected);g4: ScPlot Y, Cat 4 (selected);g4: ScPlot X, Cat 5 (selected);g4: ScPlot Y, Cat 5 (selected);g4: ScPlot X, Cat 6 (selected);g4: ScPlot Y, Cat 6 (selected);g4: ScPlot X, Cat 7 (selected);g4: ScPlot Y, Cat 7 (selected);g4: ScPlot X, Cat 8 (selected);g4: ScPlot Y, Cat 8 (selected);g4: ScPlot X, Cat 9 (selected);g4: ScPlot Y, Cat 9 (selected)
1;1;1;A;26.7;29.3;0.962;-13.24596;1.2;27.9;1.90564;1.9;28.6;0.42388;-6.62298;1.004;1.428;0.19185;0.6495;-36.927;0.95;61.34;0.25;-7.61976;0.86381;42.57178;0.22839;-6.65788;N/A;Not;found;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;170.6;173.3;0.962;-10.62229;1.4;172;1.88965;1.9;172.5;0.57864;-5.31114;1.04;1.619;0.73836;21.25991;-33.268;0.05;29.6;0.25;-19.78902;0.45885;25.16202;0.33578;-6.08479;6.93963;144.09999;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;435.2;437.6;0.962;-7.11691;1.1;436.3;0.84753;2.3;437.5;0.60149;-3.55846;0.92;1.522;0.12158;0.76071;-23.192;0.95;38.754;1.05;Not;found;Not;found;3.55336;0.96903;-8.39676;3.78358;264.29999;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;440.6;443.2;0.962;-10.93461;1.3;441.9;2.4013;1.8;442.4;0.47831;-5.4673;0.993;1.471;0.51965;0.67286;-25.634;1.25;41.043;0.15;-10.43294;0.71977;28.06158;0.28831;-4.92979;178.57104;5.60001;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;538.2;540.9;0.962;-12.02445;1.3;539.5;4.74442;2.3;540.5;0.45761;-6.01223;1.07;1.528;0.62233;0.46208;-38.767;1.05;45.787;0.25;-16.33165;0.5203;31.88697;0.28295;-3.95511;10.2459;97.6;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;773.3;775.6;0.962;-6.9622;1.1;774.4;0.97258;0.7;774;0.34634;-3.4811;0.967;1.313;1.8587;0.74961;-33.425;0.95;20.909;0.55;-26.92999;0.19792;10.44476;0.49069;-5.05865;4.25713;234.90005;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;1006.8;1009.5;0.962;-13.40444;1.3;1008.1;2.64716;2.5;1009.3;0.46249;-6.70222;1.041;1.503;1.67125;0.35085;-40.574;1.05;38.614;0.15;-27.57026;0.36765;32.36353;0.33947;-5.26377;4.27899;233.69995;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;1100.9;1103.4;0.962;-10.15886;1.2;1102.1;3.20747;1.9;1102.8;0.43785;-5.07943;0.949;1.387;0.31782;1.10861;-26.677;0.85;46.951;0.15;-11.68459;0.60398;20.98542;0.25308;-3.12234;10.6383;93.99996;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;1287.8;1290.2;0.962;-7.5581;1.2;1289;4.49608;1.7;1289.5;0.4205;-3.77905;0.962;1.383;0.20312;0.36573;-23.81;1.05;40.903;0.35;-20.36391;0.28037;28.98095;0.23366;-2.49764;5.35045;186.89999;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;1293.8;1296.2;0.962;-8.01907;1.2;1295;2.09729;1.6;1295.4;0.4039;-4.00954;0.935;1.339;2.7902;2.75836;-25.184;0.55;33.272;0.05;-6.5233;0.57391;22.47006;0.27647;-4.22747;166.66667;6;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;A;1296.1;1298.8;0.962;-10.93473;1.2;1297.3;5.28493;2;1298.1;0.56523;-5.46737;1.024;1.589;0.16436;0.32417;-39.53;1.05;33.882;0.55;-10.81213;0.6065;26.86738;0.37311;-5.50397;434.75952;2.30012;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
